Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
bibi_05,5,4.25,4.5,5,4,4.5,4,3.75,4.25,5,5,4.5,4.75,4.75,4,4.75,4.75,4.5,5,4.5,4.5,
bibi_narr,exc,good,vgood,exc,good,vgood,good,fair,good,exc,exc,vgood,vgood,vgood,good,vgood,vgood,vgood,exc,vgood,vgood,
totind,118,118,105,119,118,125,90,106,114,122,135,116,108,112,131,126,118,111,140,125,146,
ntaxa,24,21,28,29,18,24,23,22,28,32,31,22,24,25,22,28,25,26,32,25,24,
nept,14,15,16,18,13,15,14,14,18,18,19,17,17,16,15,20,20,20,20,17,17,
nephem,6,5,6,9,4,5,6,5,9,9,8,6,10,5,4,6,6,7,9,7,7,
totephem,58,35,44,50,63,56,26,32,42,43,59,63,74,43,30,36,39,38,46,65,45,
nscrape,6,3,4,5,2,3,4,4,5,7,4,3,6,3,3,4,3,3,5,3,4,
totclimb,12,8,26,5,18,36,24,2,11,15,10,13,9,15,11,20,15,5,18,21,12,
totchiron,14,13,32,10,6,23,34,1,21,16,17,4,2,7,16,17,8,3,15,8,9,
totcling,102,101,74,103,112,100,55,96,99,104,114,112,103,103,117,102,111,106,125,115,138,
tottany,10,8,25,5,3,12,23,0,8,10,6,3,2,3,11,16,7,1,11,3,6,
totscrape,24,15,11,24,42,13,16,20,9,26,20,28,44,20,25,27,23,23,24,31,17,
totswim,37,22,37,26,25,45,11,18,34,24,39,38,34,24,12,15,19,16,26,34,30,
totdipt,21,54,37,27,21,25,43,34,31,20,21,18,7,24,41,30,28,13,35,16,41,
totintol_urb,111,109,92,101,97,89,68,106,91,99,114,99,103,94,116,121,101,105,120,99,133,
pephem,49.15254237,29.66101695,41.9047619,42.01680672,53.38983051,44.8,28.88888889,30.18867925,36.84210526,35.24590164,43.7037037,54.31034483,68.51851852,38.39285714,22.90076336,28.57142857,33.05084746,34.23423423,32.85714286,52,30.82191781,
pclimb,10.16949153,6.779661017,24.76190476,4.201680672,15.25423729,28.8,26.66666667,1.886792453,9.649122807,12.29508197,7.407407407,11.20689655,8.333333333,13.39285714,8.396946565,15.87301587,12.71186441,4.504504505,12.85714286,16.8,8.219178082,
pchiron,11.86440678,11.01694915,30.47619048,8.403361345,5.084745763,18.4,37.77777778,0.943396226,18.42105263,13.1147541,12.59259259,3.448275862,1.851851852,6.25,12.21374046,13.49206349,6.779661017,2.702702703,10.71428571,6.4,6.164383562,
pcling,86.44067797,85.59322034,70.47619048,86.55462185,94.91525424,80,61.11111111,90.56603774,86.84210526,85.24590164,84.44444444,96.55172414,95.37037037,91.96428571,89.3129771,80.95238095,94.06779661,95.4954955,89.28571429,92,94.52054795,
ptany,8.474576271,6.779661017,23.80952381,4.201680672,2.542372881,9.6,25.55555556,0,7.01754386,8.196721311,4.444444444,2.586206897,1.851851852,2.678571429,8.396946565,12.6984127,5.93220339,0.900900901,7.857142857,2.4,4.109589041,
pscrape,20.33898305,12.71186441,10.47619048,20.16806723,35.59322034,10.4,17.77777778,18.86792453,7.894736842,21.31147541,14.81481481,24.13793103,40.74074074,17.85714286,19.08396947,21.42857143,19.49152542,20.72072072,17.14285714,24.8,11.64383562,
pswim,31.3559322,18.6440678,35.23809524,21.8487395,21.18644068,36,12.22222222,16.98113208,29.8245614,19.67213115,28.88888889,32.75862069,31.48148148,21.42857143,9.160305344,11.9047619,16.10169492,14.41441441,18.57142857,27.2,20.54794521,
pdipt,17.79661017,45.76271186,35.23809524,22.68907563,17.79661017,20,47.77777778,32.0754717,27.19298246,16.39344262,15.55555556,15.51724138,6.481481481,21.42857143,31.29770992,23.80952381,23.72881356,11.71171171,25,12.8,28.08219178,
pintol_urb,94.06779661,92.37288136,87.61904762,84.87394958,82.20338983,71.2,75.55555556,100,79.8245614,81.14754098,84.44444444,85.34482759,95.37037037,83.92857143,88.54961832,96.03174603,85.59322034,94.59459459,85.71428571,79.2,91.09589041,
