Month,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
January,,17.2,,19.2,57,31,69,16,,122,63,36,62,31,20,8.9,71,63,52,84,44,64.3,29.55,22.6,16.7,49.9,22.5,48.8,38.6,18.1,27.1
February,,29,,62,69.5,24,19,,,127,57.5,82,49,58,28,20,58,,26,65,10,121,23.7,19.2,22.3,30,32.5,29.5,,38.3,16
March,,35.8,,62.8,80,48,55,119,,75,70,82,88,70,41,26,84,34,24,23,59,83.6,67.1,120,99.2,32.1,43.2,37.7,33.7,41.9,33
April,,25,,52,31,48,181,133,,67,86,45,20,41,96,22,58,53,70.5,,76,56.5,44.2,29.7,65.2,15.1,63.3,96,81,24.1,
May,,35.2,,45.1,29,17,12,29,,54,39,48,30,32,13,38,28,27,22,,15,25.9,21,14.9,32.1,20.5,17.6,38.3,5.29,15.9,
June,,4.13,,14.3,6.6,19,3.4,5.3,,6.4,4.2,29,4.2,30,20,30,58,7.3,5.7,23,17,11.1,34.6,11.8,20.8,8.48,73.4,12.3,17.9,4.17,
July,,2.8,,4.92,2.4,9.9,1,4.2,,11,3.7,8.9,2.1,26,1.7,2.2,6.7,5.3,4.2,7.5,7.9,7.31,25.9,2.52,5.51,2.66,14.1,18.6,10.4,1.38,
August,,2.3,,21.7,3.1,12,0.56,5.8,,3.1,4.9,1.5,0.91,15,1.2,0.74,8.5,11,1.3,1.7,6.2,18,11.8,1.2,10.1,3.09,7.41,8.75,2.46,0.95,
September,,4.13,,10.7,3.1,6.8,1.65,2.5,,13,2.7,1.5,14,7.5,12,1.5,16,16,0.82,6.2,1,26.2,5.34,0.36,40.8,8.09,11.2,3.42,4.72,0.7,
October,26.5,2.33,38.2,24,11,12,6.2,20,25,46,4.2,7.5,36,9.7,4.1,9.7,34,26,56,18,2.8,16.5,17.5,24,58.2,20.7,7.6,15,4.32,0.98,
November,25.7,,46.2,40,32,35,21,,57,38,48,12,26,25,4.2,34,54,24,39,51,10.9,43.1,38.5,33.6,59.1,23.9,18.1,26.4,10.2,7.6,
December,27.5,,13.2,60,44,48,41,,,90,43,10,36,19,9.9,44,66,57,82,28,18.7,88.8,49.9,47.5,54,22,36.4,79.9,19.1,9.14,
